51;44;Adam
70;44;Adela
29;38;Adolf
45;43;Adrian
72;43;Adriana
50;40;Agata
64;40;Alan
21;43;Albert
53;41;Albina
18;38;Alena
54;45;Ales
56;44;Alexandr
18;41;Alexandra
61;38;Alexej
51;42;Alice
46;39;Alina
29;42;Alois
55;39;Alzbeta
35;46;Amalie
19;39;Ambroz
25;39;Anastazie
31;41;Andela
44;41;Andrea
40;40;Andrej
32;42;Aneta
80;46;Anezka
17;41;Anna
31;46;Anton
79;45;Antonie
42;40;Antonin
37;44;Apolena
21;39;Arnost
58;45;Artur
44;40;Augustyn
58;41;Barbara
18;38;Barbora
44;46;Bartolomej
53;46;Bastian
69;42;Beata
60;38;Beatrice
46;40;Bedrich
38;43;Bela
26;46;Benedikt
41;44;Benjamin
54;46;Bernard
67;38;Bernd
31;43;Bernhard
50;38;Berta
33;45;Bibiana
47;44;Blahoslav
34;45;Blanka
69;39;Blazej
42;41;Blazena
57;45;Bohdan
23;45;Bohdana
76;43;Bohumil
30;38;Bohumila
53;44;Bohumir
54;38;Bohuslav
76;44;Bohuslava
78;42;Boleslav
64;39;Bonifac
62;42;Boris
49;39;Borek
42;45;Borivoj
34;42;Bozena
54;43;Brigita
37;43;Bronislav
36;43;Bruno
78;44;Bretislav
38;42;Cecilie
39;41;Ctibor
68;43;Ctirad
19;38;cenek
15;43;cestmir
60;41;Dagmar
25;40;Dalibor
36;41;Dalimil
27;42;Dan
34;44;Dana
54;41;Danica
33;45;Daniel
64;45;Daniela
22;46;Danuse
24;43;Darina
42;38;Darja
47;43;David
16;46;David
32;44;Denisa
39;45;Diana
61;38;Dita
23;46;Dobromila
27;42;Dobroslav
79;44;Dominik
42;43;Dominika
74;42;Dorota
26;45;Doubravka
19;43;Drahomira
80;43;Drahoslav
60;44;Drahoslava
45;43;Dusan
80;46;Edita
79;38;Eduard
27;42;Elena
47;41;Eliska
64;44;Ema
31;42;Emanuel
31;43;Emil
77;42;Emilie
72;46;Erik
54;39;Erika
68;43;Ester
29;44;Eva
66;44;Evelina
31;44;Evzen
34;38;Evzenie
75;46;Felix
69;43;Ferdinand
39;44;Filip
15;39;Frantisek
52;39;Frantiska
53;41;Gabina
69;46;Gabriel
68;40;Gabriela
28;46;Gita
16;44;Gizela
43;41;Gregor
77;45;Gustav
36;45;Hana
39;44;Hanka
39;39;Hanus
75;38;Havel
80;38;Hedvika
15;38;Helena
47;45;Herbert
41;43;Hermina
52;45;Herman
34;41;Hubert
45;45;Hugo
56;41;Hynek
61;45;Ida
46;46;Ignac
45;45;Igor
73;40;Ilja
19;38;Ilona
18;46;Ingrid
64;39;Inka
31;46;Irena
41;42;Irma
43;45;Iva
62;39;Ivan
60;42;Ivana
39;42;Iveta
27;44;Ivo
25;45;Ivona
67;40;Ivos
71;44;Izabela
68;41;Jachym
24;40;Jakub
57;44;Jan
23;45;Jan
62;44;Jana
66;43;Janka
29;42;Jarmil
28;45;Jarmila
37;46;Jaromir
51;38;Jaroslav
35;43;Jaroslava
76;41;Jeronym
79;45;Jindrich
79;42;Jindra
